Site_name	Complexity	Nursery	Type	Mod_pred_biomass_5	Mod_herb_biomass_5	Mod_inv_biomass	Pred_Fprod	Herb_Fprod
Karpata_nc	No	X44	3	46.83706445	10.97973975	24.67805073	20.68445842	0.604926566
Mi_Dushi_nc	No	X44	3	48.83178632	12.94680546	22.60627654	25.45383671	0.405954001
Oil_Slick_Leap_nc	No	X44	3	46.96744378	10.9655594	24.76952294	20.71230637	0.604613462
Playa_Funchi_nc	No	X44	3	44.42111768	9.318994969	29.40264849	24.07109511	0.961375187
Aquarius	Yes	none	2	97.12217625	49.9323022	8.129124715	14.06001832	7.019325078
Forest	Yes	none	2	88.02041461	40.72636065	8.900597654	15.67667453	6.001861612
Kalabas	Yes	none	2	101.2617741	52.45281496	8.454696743	13.46022403	6.876733029
Karpata	Yes	none	2	76.74096109	37.16204129	10.82693577	15.67039612	6.044447793
Mi_Dushi	Yes	none	2	94.87242363	32.34782063	10.82617111	25.88808393	4.628242714
Oil_Slick_Leap	Yes	none	2	86.7320069	48.09862185	9.549696015	14.17639388	6.981724258
Playa_Funchi	Yes	none	2	75.4907863	29.58787002	14.93986441	27.35973192	6.27406029
Aquarius_nc	No	none	1	30.51253287	12.67119853	23.75181977	13.89077762	0.615362102
Forest_nc	No	none	1	31.3207592	12.96768017	22.74693223	13.24294738	0.529989844
Kalabas_nc	No	none	1	31.05322579	12.80067635	23.11275091	12.85195564	0.548902964
Karpata_nc	No	none	1	29.98265126	11.91855302	26.00954273	12.8236834	0.733549635
Mi_Dushi_nc	No	none	1	32.21788367	13.46393006	22.09852628	16.99645314	0.413003215
Oil_Slick_Leap_nc	No	none	1	29.97433204	11.89889398	26.08167532	13.04346527	0.732498639
Playa_Funchi_nc	No	none	1	27.64222319	10.19197482	32.24273514	15.94927677	1.146922697
